date,team_a,team_b,goals_a,goals_b,strength_a,strength_b,form_a,form_b,xg_a,xg_b,injuries_a,injuries_b,shots_a,shots_b,poss_a,poss_b
2025-01-01,Barcelona,Aalborg,39,21,86,67,0.888,0.793,35.72,23.19,1,2,125,157,57.07,42.93
2025-02-02,Veszprem,PSG,33,26,64,71,0.887,0.805,39.15,21.39,1,3,221,74,56.11,43.89
2025-03-03,Barcelona,PSG,43,17,82,64,0.841,0.382,45.0,18.2,1,0,227,68,59.18,40.82
2025-04-04,Nantes HB,PSG,40,20,81,73,0.691,0.401,42.11,21.31,2,3,111,66,50.55,49.45
2025-05-05,Veszprem,Nantes HB,42,20,85,82,0.737,0.369,32.59,23.45,1,3,178,91,53.53,46.47
2025-06-06,Veszprem,Kiel,32,27,84,65,0.487,0.655,26.84,25.16,2,3,156,84,48.66,51.34
2025-07-07,Aalborg,Barcelona,33,24,82,80,0.793,0.648,29.73,26.44,2,2,225,152,49.4,50.6
2025-08-08,Veszprem,PSG,19,38,68,87,0.387,0.79,22.43,45.0,1,1,60,124,46.46,53.54
2025-09-09,Barcelona,Nantes HB,32,28,74,78,0.527,0.629,31.74,31.25,1,4,236,180,54.83,45.17
2025-10-10,Aalborg,Kiel,35,24,85,61,0.834,0.809,38.79,26.52,4,2,257,170,48.81,51.19
2025-11-11,Aalborg,PSG,35,25,71,59,0.91,0.856,37.24,25.07,3,3,179,137,53.16,46.84
2025-12-12,PSG,Veszprem,39,22,83,64,0.945,0.855,44.22,18.87,1,3,195,143,51.66,48.34
2025-01-13,Kiel,PSG,25,34,67,75,0.452,0.782,28.46,37.16,1,3,114,186,44.91,55.09
2025-02-14,PSG,Veszprem,32,28,69,69,0.492,0.364,30.27,32.55,3,1,160,100,47.76,52.24
2025-03-15,Aalborg,Barcelona,28,31,69,75,0.609,0.751,23.9,31.14,4,4,158,218,45.52,54.48
2025-04-16,Kiel,Nantes HB,31,30,73,61,0.578,0.681,28.14,35.97,1,0,163,92,46.45,53.55
2025-05-17,Veszprem,Nantes HB,28,32,73,85,0.43,0.714,29.44,30.49,0,4,131,204,52.26,47.74
2025-06-18,Nantes HB,Aalborg,32,27,59,58,0.651,0.429,25.43,28.3,3,1,105,182,52.52,47.48
2025-07-19,Barcelona,Nantes HB,40,21,82,56,0.868,0.839,34.88,20.9,0,3,235,86,54.9,45.1
2025-08-20,Nantes HB,Barcelona,38,22,82,75,0.882,0.453,32.72,26.1,4,2,265,159,57.22,42.78
2025-09-21,Aalborg,Veszprem,26,31,70,78,0.488,0.67,21.66,27.36,1,1,166,231,46.13,53.87
2025-10-22,Kiel,Aalborg,31,27,81,90,0.743,0.757,37.52,20.58,2,4,84,141,48.42,51.58
2025-11-23,Barcelona,Nantes HB,21,37,61,81,0.67,0.881,20.05,42.57,4,2,91,145,49.19,50.81
2025-12-24,Nantes HB,Barcelona,29,29,79,91,0.655,0.624,22.14,34.78,0,0,196,131,50.86,49.14
2025-01-25,PSG,Aalborg,24,34,87,92,0.557,0.899,25.56,35.47,2,2,163,152,48.34,51.66
2025-02-26,Aalborg,PSG,38,22,64,56,0.866,0.716,33.43,21.68,1,4,227,75,58.71,41.29
2025-03-27,Nantes HB,Veszprem,34,26,59,74,0.865,0.641,26.06,26.87,1,3,123,137,52.31,47.69
2025-04-28,PSG,Kiel,30,27,83,91,0.571,0.439,35.54,31.9,2,1,223,75,52.66,47.34
2025-05-01,Aalborg,Veszprem,38,21,81,67,0.648,0.689,44.73,17.84,0,4,215,57,52.48,47.52
2025-06-02,Barcelona,Veszprem,25,33,56,63,0.45,0.816,20.51,31.04,0,3,94,199,49.35,50.65
2025-07-03,Veszprem,Kiel,32,28,61,87,0.671,0.466,32.63,31.71,1,2,197,215,46.48,53.52
2025-08-04,Kiel,PSG,33,26,70,56,0.849,0.921,33.05,31.25,0,0,253,182,52.0,48.0
2025-09-05,Kiel,Aalborg,33,26,79,89,0.81,0.583,35.67,23.76,2,2,114,95,52.67,47.33
2025-10-06,Veszprem,Barcelona,35,25,65,59,0.513,0.483,29.63,21.8,1,4,101,143,50.14,49.86
2025-11-07,Nantes HB,Veszprem,36,22,82,57,0.628,0.804,29.62,24.64,0,4,242,119,54.54,45.46
2025-12-08,Kiel,PSG,31,29,85,92,0.471,0.444,37.57,24.38,2,2,131,88,50.99,49.01
2025-01-09,Nantes HB,PSG,29,29,82,80,0.371,0.58,29.7,23.37,2,4,120,124,50.09,49.91
2025-02-10,Veszprem,Nantes HB,25,33,58,85,0.612,0.777,26.65,37.26,0,2,96,141,45.8,54.2
