date,team_a,team_b,goals_a,goals_b,strength_a,strength_b,form_a,form_b,xg_a,xg_b,injuries_a,injuries_b,shots_a,shots_b,poss_a,poss_b
2025-01-01,WTA Team B,ATP Team B,3,2,84,67,0.621,0.523,3.0,2.34,3,1,16,7,55.26,44.74
2025-02-02,WTA Team B,WTA Team A,2,3,81,76,0.381,0.386,2.88,3.0,0,3,10,10,53.37,46.63
2025-03-03,WTA Team B,ATP Team A,3,2,85,57,0.829,0.55,3.0,2.5,4,2,24,14,58.66,41.34
2025-04-04,ATP Team A,WTA Team B,2,2,55,90,0.564,0.815,1.85,2.8,4,2,13,17,46.17,53.83
2025-05-05,WTA Team A,WTA Team B,2,1,91,67,0.636,0.518,2.39,1.29,2,3,14,12,58.26,41.74
2025-06-06,ATP Team B,WTA Team B,1,1,70,81,0.433,0.924,1.17,1.66,0,0,9,6,43.54,56.46
2025-07-07,ATP Team A,WTA Team B,0,3,70,69,0.668,0.779,0.79,3.0,4,0,5,13,48.68,51.32
2025-08-08,WTA Team B,WTA Team A,1,2,58,89,0.684,0.417,1.71,2.18,2,1,12,9,50.24,49.76
2025-09-09,ATP Team A,WTA Team A,2,3,86,62,0.361,0.541,2.99,3.0,1,3,9,26,56.31,43.69
2025-10-10,WTA Team A,WTA Team B,3,2,87,73,0.869,0.657,3.0,2.26,2,4,19,7,52.54,47.46
2025-11-11,ATP Team B,ATP Team A,3,3,61,81,0.58,0.399,3.0,2.79,0,4,11,20,54.58,45.42
2025-12-12,ATP Team A,ATP Team B,1,2,66,73,0.856,0.812,1.44,2.16,4,1,14,15,51.35,48.65
2025-01-13,ATP Team A,ATP Team B,1,1,92,55,0.446,0.703,1.49,1.59,4,0,14,9,51.39,48.61
2025-02-14,WTA Team A,ATP Team A,2,1,92,85,0.388,0.59,2.46,2.05,2,4,8,13,45.05,54.95
2025-03-15,WTA Team A,ATP Team A,2,2,77,70,0.728,0.393,2.18,2.08,2,0,9,16,57.78,42.22
2025-04-16,ATP Team B,ATP Team A,1,3,66,84,0.619,0.911,1.27,3.0,4,3,7,25,41.97,58.03
2025-05-17,ATP Team B,WTA Team A,1,2,75,91,0.777,0.81,1.98,1.91,2,2,13,17,48.12,51.88
2025-06-18,WTA Team B,ATP Team A,2,1,73,66,0.475,0.534,2.39,1.66,4,4,11,7,53.61,46.39
2025-07-19,WTA Team B,WTA Team A,1,2,63,82,0.405,0.69,1.91,2.33,1,2,10,9,45.67,54.33
2025-08-20,WTA Team A,ATP Team A,3,1,57,59,0.875,0.616,3.0,1.67,1,4,24,12,52.08,47.92
2025-09-21,WTA Team B,ATP Team B,1,1,55,85,0.364,0.54,1.37,1.54,4,4,7,12,49.07,50.93
2025-10-22,WTA Team B,ATP Team A,2,1,84,90,0.524,0.373,2.58,1.41,0,1,10,13,50.0,50.0
2025-11-23,ATP Team B,ATP Team A,1,2,66,56,0.356,0.92,1.14,1.66,4,2,6,19,45.68,54.32
2025-12-24,ATP Team A,WTA Team B,2,1,69,58,0.501,0.86,2.47,1.72,3,3,10,13,44.51,55.49
2025-01-25,ATP Team A,WTA Team A,1,2,65,82,0.383,0.915,1.73,2.06,0,3,8,18,43.64,56.36
2025-02-26,ATP Team B,ATP Team A,3,2,63,83,0.392,0.519,3.0,2.79,3,4,16,14,51.24,48.76
2025-03-27,WTA Team B,ATP Team B,2,2,70,87,0.8,0.907,2.5,2.7,3,0,11,16,47.64,52.36
2025-04-28,WTA Team A,ATP Team A,2,2,73,78,0.738,0.491,1.93,2.14,2,3,11,17,54.63,45.37
2025-05-01,WTA Team A,ATP Team B,3,1,91,80,0.801,0.485,3.0,1.23,2,1,18,7,54.25,45.75
2025-06-02,WTA Team A,ATP Team B,2,2,55,89,0.749,0.658,2.95,2.01,0,0,8,14,46.63,53.37
2025-07-03,ATP Team B,WTA Team B,3,3,69,74,0.916,0.58,3.0,3.0,3,1,29,15,53.81,46.19
2025-08-04,ATP Team B,WTA Team A,1,1,62,67,0.426,0.446,1.76,1.16,4,2,5,6,49.14,50.86
2025-09-05,WTA Team B,WTA Team A,3,1,84,61,0.855,0.82,3.0,1.43,2,4,10,9,49.3,50.7
2025-10-06,WTA Team A,ATP Team A,1,2,88,64,0.5,0.712,1.13,2.35,3,0,12,21,52.87,47.13
2025-11-07,WTA Team B,WTA Team A,1,1,71,56,0.59,0.837,1.31,1.44,4,2,13,10,44.28,55.72
2025-12-08,ATP Team B,WTA Team B,2,2,65,55,0.394,0.676,1.88,2.46,4,4,16,19,43.66,56.34
2025-01-09,WTA Team A,ATP Team A,2,1,74,75,0.458,0.513,3.0,1.69,1,1,17,11,47.89,52.11
2025-02-10,WTA Team A,ATP Team B,3,0,75,73,0.868,0.362,3.0,0.26,4,2,16,4,54.85,45.15
2025-03-11,WTA Team A,WTA Team B,2,2,63,76,0.704,0.7,2.62,2.47,1,0,10,14,49.2,50.8
2025-04-12,ATP Team A,WTA Team A,2,3,81,70,0.585,0.684,1.74,3.0,3,0,15,11,49.59,50.41
2025-05-13,WTA Team A,ATP Team A,2,2,60,67,0.613,0.797,2.85,2.34,0,4,16,14,51.49,48.51
2025-06-14,WTA Team B,ATP Team A,1,3,69,83,0.374,0.932,1.59,3.0,2,3,12,19,43.76,56.24
2025-07-15,WTA Team B,ATP Team A,2,2,87,69,0.603,0.504,2.91,2.34,4,1,9,18,54.06,45.94
2025-08-16,ATP Team A,WTA Team B,2,2,79,57,0.63,0.497,2.08,2.68,3,2,21,15,52.78,47.22
2025-09-17,ATP Team A,WTA Team B,2,2,60,92,0.833,0.519,2.54,1.99,4,3,17,13,50.54,49.46
2025-10-18,WTA Team A,ATP Team A,2,1,84,80,0.771,0.503,2.41,1.09,4,2,17,5,50.43,49.57
2025-11-19,WTA Team B,ATP Team B,1,2,91,58,0.481,0.94,1.41,2.9,2,1,9,13,50.58,49.42
2025-12-20,WTA Team B,WTA Team A,3,2,66,73,0.914,0.574,3.0,1.86,4,2,12,20,51.14,48.86
2025-01-21,ATP Team A,WTA Team B,1,1,58,89,0.843,0.597,1.56,1.3,2,3,11,7,50.55,49.45
2025-02-22,ATP Team B,WTA Team A,2,2,55,74,0.757,0.465,3.0,2.25,1,1,10,10,52.84,47.16
